Date,BoosterVersion,LaunchSite,Payload,PayloadMass_kg,Orbit,Outcome
"January 4, 2025",F9 B5B1073‐20,"Cape Canaveral, SLC‐40",Thuraya 4-NGS,5000.0,GTO,Success
"January 6, 2025",F9 B5B1077‐17,"Cape Canaveral, SLC‐40",Starlink: Group 6‐71,17500.0,LEO,Success
"January 8, 2025",F9 B5B1086‐3,"Kennedy, LC‐39A",Starlink: Group 12-11 (21 satellites),16500.0,LEO,Success
"January 10, 2025",F9 B5B1071‐22,"Vandenberg, SLC‐4E",NROL-153 (22 Starshield satellites),,LEO,Success
"January 10, 2025",F9 B5B1067‐25,"Cape Canaveral, SLC‐40",Starlink: Group 12-12 (21 satellites),16500.0,LEO,Success
"January 13, 2025",F9 B5B1080‐15,"Cape Canaveral, SLC‐40",Starlink: Group 12-4 (21 satellites),16500.0,LEO,Success
"January 14, 2025",F9 B5B1088‐2,"Vandenberg, SLC‐4E",Transporter-12 (131 payload smallsat rideshare),2000.0,SSO,Success
"January 15, 2025",F9 B5B1085‐5,"Kennedy, LC‐39A",Blue Ghost Mission 1,2517.0,TLI,Success
"January 21, 2025",F9 B5B1083‐8,"Kennedy, LC‐39A",Starlink: Group 13-1 (21 satellites) + 2 Starshield satellites,15300.0,LEO,Success
"January 21, 2025",F9 B5B1082‐10,"Vandenberg, SLC‐4E",Starlink: Group 11-8 (27 satellites),15500.0,LEO,Success
"January 24, 2025",F9 B5B1063‐23,"Vandenberg, SLC‐4E",Starlink: Group 11-6 (23 satellites),17100.0,LEO,Success
"January 27, 2025",F9 B5B1076‐20,"Cape Canaveral, SLC‐40",Starlink: Group 12-7 (21 satellites),16500.0,LEO,Success
"January 30, 2025",F9 B5B1073‐21,"Kennedy, LC‐39A",Spainsat NG I,6100.0,GTO,Success
"February 1, 2025",F9 B5B1075‐17,"Vandenberg, SLC-4E",Starlink: Group 11-4,16700.0,LEO,Success
"February 4, 2025",F9 B5B1069‐21,"Cape Canaveral, SLC‐40",Starlink: Group 12-3 (21 satellites),16500.0,LEO,Success
"February 4, 2025",F9 B5B1086‐4,"Kennedy, LC‐39A",WorldView Legion 5 & 6 (2 satellites),1500.0,LEO,Success
"February 8, 2025",F9 B5B1078‐17,"Cape Canaveral, SLC‐40",Starlink: Group 12-9 (21 satellites),16500.0,LEO,Success
"February 11, 2025",F9 B5B1071‐23,"Vandenberg, SLC-4E",Starlink: Group 11-10,17100.0,LEO,Success
"February 11, 2025",F9 B5B1077‐18,"Cape Canaveral, SLC‐40",Starlink: Group 12-18 (21 satellites),16500.0,LEO,Success
"February 15, 2025",F9 B5 B1067‐26,"Cape Canaveral, SLC‐40",Starlink: Group 12-8,16500.0,LEO,Success
"February 18, 2025",F9 B5B1080‐16,"Cape Canaveral, SLC‐40",Starlink: Group 10-12 (23 satellites),17100.0,LEO,Success
"February 21, 2025",F9 B5B1076‐21,"Cape Canaveral, SLC‐40",Starlink: Group 12-14 (23 satellites),17100.0,LEO,Success
"February 23, 2025",F9 B5B1082‐11,"Vandenberg, SLC‐4E",Starlink: Group 15-1 (22 satellites),16800.0,LEO,Success
"February 27, 2025",F9 B5B1083‐9,"Kennedy, LC‐39A","IM-2 Nova-C ""Athena"" lunar landerLunar TrailblazerBrokkr-2 OdinChimera-1TBD",,TLI,Success
"February 27, 2025",F9 B5B1092‐1,"Cape Canaveral, SLC‐40",Starlink: Group 12-13 (21 satellites),16500.0,LEO,Success
"March 3, 2025",F9 B5B1086‐5,"Cape Canaveral, SLC‐40",Starlink: Group 12-20 (21 satellites),16500.0,LEO,Success
"March 12, 2025",F9 B5B1088‐3,"Vandenberg, SLC‐4E",SPHERExPUNCH,758.0,SSO,Success
"March 13, 2025",F9 B5B1069‐22,"Cape Canaveral, SLC‐40",Starlink: Group 12-21,16500.0,LEO,Success
"March 14, 2025",F9 B5B1090‐2,"Kennedy, LC‐39A",Crew-10 (Crew Dragon C210-4 Endurance),13000.0,LEO (ISS),Success
"March 15, 2025",F9 B5B1081‐13,"Vandenberg, SLC‐4E",Transporter-13 (74 payload smallsat rideshare),,SSO,Success
"March 15, 2025",F9 B5B1078‐18,"Cape Canaveral, SLC‐40",Starlink: Group 12-16,17100.0,LEO,Success
"March 18, 2025",F9 B5B1077‐19,"Cape Canaveral, SLC‐40",Starlink: Group 12-25,17100.0,LEO,Success
"March 21, 2025",F9 B5B1088‐4,"Vandenberg, SLC‐4E",NROL-57 (~11 Starshield satellites),,LEO,Success
"March 24, 2025",F9 B5B1092‐2,"Cape Canaveral, SLC‐40",NROL-69,,LEO,Success
"March 26, 2025",F9 B5B1063‐24,"Vandenberg, SLC‐4E",Starlink: Group 11-7,15500.0,LEO,Success
"March 31, 2025",F9 B5B1080‐17,"Cape Canaveral, SLC‐40",Starlink: Group 6-80,16100.0,LEO,Success
"April 1, 2025",F9 B5B1085‐6,"Kennedy, LC‐39A",Fram2 (Crew Dragon C207-4 Resilience),13000.0,Polar (Retrograde),Success
"April 4, 2025",F9 B5B1088‐5,"Vandenberg, SLC‐4E",Starlink: Group 11-13,15500.0,LEO,Success
"April 6, 2025",F9 B5B1078‐19,"Cape Canaveral, SLC‐40",Starlink: Group 6-72,16100.0,LEO,Success
"April 7, 2025",F9 B5B1093‐1,"Vandenberg, SLC‐4E",Starlink: Group 11-11,15500.0,LEO,Success
